,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31
GitHub – add user to org,4,,,5,11,1,2,1,,,3,2,7,2,5,,,6,1,1,3,1,,,1,2,,,,,
GitHub – remove user from org,,,,,1,,1,,,,,1,,,,,,1,1,,,,,,1,1,,,,,
GitHub - add user back to org,1,,,1,,,,1,,,1,,2,1,,,,1,1,1,,,,,,,,,,,
GitHub – add user to team/repo,1,,,1,,,1,,,,1,,,,,,,,2,1,,,,,,,,,,,
GitHub – remove user from team/repo,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
GitHub - add team to repo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub - add user as maintainer,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,
GitHub – add external collaborator,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
GitHub - manage external collaborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – remove external collaborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – create team,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
GitHub – change repo permissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub – archive/unarchive repo,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
GitHub - add Renovate to repo,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,
GitHub - other requests,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,
GitHub - information/help,,,,,2,2,1,1,,,1,,2,,,,,2,,2,,,,,,1,,,,,
1Password - add user,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,
1Password - remove user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password - password recovery,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,
1Password - add vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Password - information/help,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
API Key,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
AWS,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
Certicates,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,
CircleCi,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
Dockerhub,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,
DNS/Domain,,,,,,1,1,2,,,,,2,,,,,1,2,,,2,,,1,,,,,,
Pagerduty,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Pingdom,,,,,,,,,,,,,,1,,,,,1,2,,,,,,,,,,,
Sentry,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Sonarcloud,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Zenhub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tools Information/help,,,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,
General infomation/help,,,,1,,2,,,,,1,,,,,,,,,,1,1,,,1,1,,,,,
Refer to another team,,,,,2,,4,1,,,1,2,2,1,1,,,3,,,1,1,,,1,,,,,,
New Joiner request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaver request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,